OFFENSE_CLASS_CODE,LAW_CAT_CD,OFNS_DESC
105,FELONY,ROBBERY
341,MISDEMEANOR,PETIT LARCENY
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
341,MISDEMEANOR,PETIT LARCENY
351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
578,VIOLATION,HARRASSMENT 2
578,VIOLATION,HARRASSMENT 2
578,VIOLATION,HARRASSMENT 2
352,MISDEMEANOR,CRIMINAL TRESPASS
110,FELONY,GRAND LARCENY OF MOTOR VEHICLE
109,FELONY,GRAND LARCENY
341,MISDEMEANOR,PETIT LARCENY
361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &
361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
121,FELONY,CRIMINAL MISCHIEF & RELATED OF
235,MISDEMEANOR,DANGEROUS DRUGS
106,FELONY,FELONY ASSAULT
578,VIOLATION,HARRASSMENT 2
578,VIOLATION,HARRASSMENT 2
107,FELONY,BURGLARY
109,FELONY,GRAND LARCENY
126,FELONY,MISCELLANEOUS PENAL LAW
351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
233,MISDEMEANOR,SEX CRIMES
578,VIOLATION,HARRASSMENT 2
578,VIOLATION,HARRASSMENT 2
126,FELONY,MISCELLANEOUS PENAL LAW
578,VIOLATION,HARRASSMENT 2
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
341,MISDEMEANOR,PETIT LARCENY
341,MISDEMEANOR,PETIT LARCENY
106,FELONY,FELONY ASSAULT
109,FELONY,GRAND LARCENY
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
118,FELONY,DANGEROUS WEAPONS
341,MISDEMEANOR,PETIT LARCENY
105,FELONY,ROBBERY
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
105,FELONY,ROBBERY
109,FELONY,GRAND LARCENY
578,VIOLATION,HARRASSMENT 2
578,VIOLATION,HARRASSMENT 2
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &
361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &
106,FELONY,FELONY ASSAULT
578,VIOLATION,HARRASSMENT 2
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
355,MISDEMEANOR,OFFENSES AGAINST THE PERSON
341,MISDEMEANOR,PETIT LARCENY
233,MISDEMEANOR,SEX CRIMES
109,FELONY,GRAND LARCENY
353,MISDEMEANOR,UNAUTHORIZED USE OF A VEHICLE
578,VIOLATION,HARRASSMENT 2
578,VIOLATION,HARRASSMENT 2
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
578,VIOLATION,HARRASSMENT 2
121,FELONY,CRIMINAL MISCHIEF & RELATED OF
578,VIOLATION,HARRASSMENT 2
341,MISDEMEANOR,PETIT LARCENY
109,FELONY,GRAND LARCENY
578,VIOLATION,HARRASSMENT 2
341,MISDEMEANOR,PETIT LARCENY
578,VIOLATION,HARRASSMENT 2
341,MISDEMEANOR,PETIT LARCENY
109,FELONY,GRAND LARCENY
361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &
121,FELONY,CRIMINAL MISCHIEF & RELATED OF
343,MISDEMEANOR,OTHER OFFENSES RELATED TO THEF
233,MISDEMEANOR,SEX CRIMES
578,VIOLATION,HARRASSMENT 2
109,FELONY,GRAND LARCENY
106,FELONY,FELONY ASSAULT
578,VIOLATION,HARRASSMENT 2
578,VIOLATION,HARRASSMENT 2
578,VIOLATION,HARRASSMENT 2
106,FELONY,FELONY ASSAULT
578,VIOLATION,HARRASSMENT 2
341,MISDEMEANOR,PETIT LARCENY
341,MISDEMEANOR,PETIT LARCENY
361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &
351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
109,FELONY,GRAND LARCENY
578,VIOLATION,HARRASSMENT 2
361,MISDEMEANOR,OFF. AGNST PUB ORD SENSBLTY &
341,MISDEMEANOR,PETIT LARCENY
341,MISDEMEANOR,PETIT LARCENY
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES
351,MISDEMEANOR,CRIMINAL MISCHIEF & RELATED OF
341,MISDEMEANOR,PETIT LARCENY
578,VIOLATION,HARRASSMENT 2
341,MISDEMEANOR,PETIT LARCENY
107,FELONY,BURGLARY
109,FELONY,GRAND LARCENY
233,MISDEMEANOR,SEX CRIMES
578,VIOLATION,HARRASSMENT 2
